smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
CC(N)COCC(C)COCC(C)CN,-5.4855132e-05,-0.00014879834,0.00064783357,0.0044993516,-0.007571684,0.00422697,0.004916935,-0.008416783,-0.0009580534,-0.0005239155,-0.013892856,0.002343968,-0.007241145,0.0044284677,-0.0015627602,-0.0067375535
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,-0.0041482095,0.004753368,-0.0012836121,0.0010074964,-0.0073114512,0.006299914,0.006128568,-0.008177245,-0.0007886011,0.0031174403,-0.014772463,-0.0026251194,-0.0059782797,0.005940022,-0.0034965603,-0.004491061
Nc1ccc(Oc2ccc(N)cc2)cc1,-0.0033596812,0.0010379301,-0.0010353513,0.0037869625,-0.006607327,0.0032106915,0.007007662,-0.008745786,-0.0015873984,0.00010223314,-0.014345202,0.0013017841,-0.0065200673,0.0054477733,-0.0029447163,-0.004175039
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,-0.0051793642,0.0028098691,-0.00017432496,0.0047387565,-0.006858729,0.0034951733,0.005697163,-0.007929038,-0.0013514999,0.002227923,-0.014666517,0.00075664837,-0.0066534877,0.004580441,-0.002277812,-0.0044143246
CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,-0.0061656022,0.0021543587,-0.0012714881,0.00071509276,-0.0061876946,0.005390048,0.005303449,-0.00804802,-5.9543177e-05,0.0020695273,-0.0155474,-0.0007149307,-0.0061866147,0.0061049648,-0.0022012843,-0.005606069
CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,-0.0001875863,0.0011643814,0.004216425,0.0023617588,-0.0022889737,0.0018041669,0.005354209,-0.0089954855,-0.0019326173,-0.0023172144,-0.01605032,-0.0025903587,-0.0060909297,0.0023832032,-0.00011309516,-0.0019544698
NCCOCCOCCN,-0.0007879308,0.00085477624,0.00088164955,0.0042701084,-0.0071801175,0.003763314,0.006055651,-0.008328964,-0.0026217606,-0.0006705299,-0.014234968,0.0025568986,-0.00641255,0.0055087768,-0.0016826177,-0.0067545623
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,-0.0008852652,0.00095965527,0.004198378,0.00432084,-0.004142511,0.0035814648,0.00912832,-0.008999653,-0.0020825472,-0.0015207706,-0.014092776,0.0022306503,-0.009122379,0.004240731,-0.0019407198,-0.0070131314
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,-0.0024577763,0.00035915803,0.0051199403,0.0044251075,-0.0014777202,0.002001544,0.008373712,-0.009704908,-0.0018464196,-0.0024319524,-0.017159328,-0.0018314831,-0.0075106667,0.0022568945,-0.00055651367,-0.005777715
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,-4.287227e-05,0.0023369994,0.0022768956,0.0024856124,0.0047677886,0.0021484331,0.0072613433,-0.0058304165,0.0023848861,0.00024456345,-0.013811447,-0.0007104846,-0.009379524,-0.005545444,0.005513772,-0.004390342
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.00014533894,0.0018199407,0.0016708784,0.0013216548,0.0034892247,0.0027289547,0.0070515396,-0.0060693067,0.002453955,-0.0016511688,-0.014294123,-0.0015251171,-0.0090369815,-0.0048370915,0.006267706,-0.0050635748
NCCCOCCOCCCN,-0.0007735782,0.00086365547,0.0007708892,0.004502547,-0.006912051,0.004033208,0.006032693,-0.008066023,-0.0021290537,-0.0007772036,-0.014250206,0.0026690308,-0.007195276,0.0058507584,-0.0022325628,-0.0076740533
CC(C)(C)N,-0.0011129046,0.0007719984,-0.0005390793,0.0038792691,-0.007445572,0.003650168,0.005457069,-0.008801695,-0.0025394093,-0.0008201357,-0.014848608,0.002176112,-0.006071504,0.0060699545,-0.0016972227,-0.005926815
CCCCN,-0.001211364,0.0008417005,-0.00022117235,0.004150578,-0.0076683117,0.0034521278,0.006367255,-0.008617904,-0.0030098092,-0.0013174983,-0.014078185,0.0022723167,-0.0056440625,0.0062398687,-0.0015025865,-0.0054850597
