source_candidate_tg,replace_side,original_smiles,replacement_smiles,replacement_source,replacement_label,replacement_template_family,replacement_template_intended_group,shared_groups,counterpart_groups,counterpart_compatibility_reason,feedback_constraint,tanimoto
194.9718692273616,a,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,N#COc1ccc(-c2ccc(OC#N)cc2)cc1,generated,generated_dicyanate_biphenyl,,,aromatic;cyanate_ester;ether;nitrile,aromatic;primary_amine,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.56
194.9718692273616,b,Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(N)cc1,library,library_217,,,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.7272727272727273
194.9718692273616,b,Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,library,library_145,,,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.6470588235294118
194.9718692273616,b,Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,library,library_21,,,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.47058823529411764
194.9718692273616,b,Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,library,library_22,,,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.47058823529411764
194.9718692273616,b,Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(Cc2ccc(N)cc2)cc1,library,library_51,,,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,preserve_complementary_reactive_pair,0.47058823529411764
194.97172510691192,a,CCC(CO)(CO)CO,C=CCOCC(CC)(CO)CO,library,library_85,,,hydroxyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.44
194.97172510691192,a,CCC(CO)(CO)CO,CC(C)(CO)CO,library,library_89,,,hydroxyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.375
194.97172510691192,a,CCC(CO)(CO)CO,C=CCOCC(CO)(COCC=C)COCC=C,library,library_80,,,hydroxyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.28
194.97172510691192,a,CCC(CO)(CO)CO,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,library,library_182,,,hydroxyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.25925925925925924
194.97172510691192,a,CCC(CO)(CO)CO,C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,library,library_189,,,hydroxyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.22580645161290322
194.97172510691192,b,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,library,library_143,,,anhydride;aromatic;ester;ether,hydroxyl,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.5769230769230769
194.97172510691192,b,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,literature_template,template_dianhydride_methylene_bisphenyl,anhydride,anhydride,anhydride;aromatic;ester;ether,hydroxyl,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.5769230769230769
194.97172510691192,b,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,O=C1OC(=O)c2ccccc21,literature_template,template_anhydride_phthalic,anhydride,anhydride,anhydride;aromatic;ester;ether,hydroxyl,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.5714285714285714
194.97172510691192,b,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,generated,generated_dianhydride_btda,,,anhydride;aromatic;ester;ether,hydroxyl,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.5555555555555556
194.97172510691192,b,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,O=C1OC(=O)c2cc(S(=O)(=O)c3ccc4c(c3)C(=O)OC4=O)ccc21,literature_template,template_dianhydride_sulfone_bisphenyl,anhydride,anhydride,anhydride;aromatic;ester;ether,hydroxyl,酸酐-羟基酯化。,preserve_complementary_reactive_pair,0.5555555555555556
194.9706255175603,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,library,library_21,,,aromatic;ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,preserve_complementary_reactive_pair,0.8235294117647058
194.9706255175603,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,library,library_150,,,aromatic;ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,preserve_complementary_reactive_pair,0.6470588235294118
194.9706255175603,a,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,library,library_147,,,aromatic;ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,preserve_complementary_reactive_pair,0.56
