smiles,groups,invalid
CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,aromatic;ether;nitrile,False
C=CC(=O)OCCCOc1ccc(C(=O)Oc2ccc(C)c(OC(=O)c3ccc(OCCCOC(=O)C=C)cc3)c2)cc1,aromatic;ester;ether;vinyl,False
O=C(CCS)OCCC(COC(=O)CCS)(COC(=O)CCS)OC(=O)CCS,ester;ether;thiol,False
CC(C)(O)C(=O)c1ccc(OCCO)cc1,aromatic;ether;hydroxyl,False
C1CCOC1,ether,False
CCN(CC)CC,,False
Oc1ccc(Oc2ccc(O)cc2)cc1,aromatic;ether;hydroxyl;phenol,False
C=O,,False
OB(O)O,,False
O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,aromatic;imide;maleimide;vinyl,False
Nc1ccccc1,aromatic;primary_amine,False
Nc1ccc(N)cc1,aromatic;primary_amine,False
Nc1cc(N)cc(N)c1,aromatic;primary_amine,False
Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,aromatic;primary_amine,False
N#CC(CC=CCC1CO1)CCC=CCC1CO1,epoxy;ether;nitrile;vinyl,False
N#CNC(=N)N,nitrile;primary_amine;secondary_amine,False
Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,aromatic;primary_amine,False
