ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (16) + GradientBoosting_huber,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_gradientboosting_huber_latent_16.joblib,77.63157894736842,45.588235294117645,15.492986144482328,133.4194077546461,2.2070468663023446,7.825211413311729,8.355886228351146,34.013121464144774,12.908025038365084,57.45966388996192,0.9746704996660833,0.6433047254783354
VAE (16) + HistGradientBoosting,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_histgradientboosting_latent_16.joblib,91.05263157894737,44.11764705882353,7.264923814341538,256.35932608114297,1.186038760329111,7.6948603489658245,4.726707950948142,33.438509707895776,8.893752905935521,54.81600464505647,0.9879752199006833,0.6753720198822725
VAE (16) + AdaBoost_depth_4,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_adaboost_depth_4_latent_16.joblib,42.368421052631575,32.35294117647059,43.197351457521066,303.6306226317338,6.030337821179349,9.300687231343492,22.67628756284568,39.8106830892762,28.431094959253187,60.019672106065784,0.8771163235527092,0.6108129057001491
VAE (16) + BaggingTrees,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_baggingtrees_latent_16.joblib,69.21052631578948,41.17647058823529,23.604412460498573,158.52776884738034,3.1034148964130948,7.054176687681195,11.65895990814473,30.89701753118759,16.53925337536443,52.42545158177748,0.9584147970474229,0.7030689913849173
VAE (16) + MLP_64,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_mlp_64_latent_16.joblib,24.210526315789473,14.705882352941178,66.81146014141935,443.926910812384,10.508984606696325,12.766325884800372,40.83756890736128,52.422034855274596,51.402431939318504,66.6285127495932,0.5983254313468933,0.5203864574432373
VAE (16) + MLP_128_64,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_mlp_128_64_latent_16.joblib,25.526315789473685,22.058823529411764,61.93326546827299,399.281741822237,9.669439530183466,11.375335637697932,37.91336297424216,47.73715929687023,48.247485870434645,65.14843137476726,0.6461197137832642,0.5414578914642334
VAE (16) + MLP_256_128_64,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_mlp_256_128_64_latent_16.joblib,27.105263157894736,29.411764705882355,57.51202694547647,400.5020465156311,9.256626855683228,10.895326244083241,36.45482670256966,45.62156015546883,47.20276756666185,63.54195586904596,0.6612792015075684,0.5637931823730469
VAE (16) + PLS_2,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_pls_2_latent_16.joblib,24.210526315789473,17.647058823529413,74.0612993774855,349.10373815936254,11.025305066072836,12.857041859755919,42.790121523844284,53.77082913446645,53.80909228927414,70.5278790082191,0.559832111560036,0.46260596654014874
VAE (16) + PLS_8,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_pls_8_latent_16.joblib,26.052631578947366,19.11764705882353,66.07303484607796,270.7594263083474,9.501643756811914,10.888863700448297,37.255451350133285,44.99915919324975,48.91776099723836,60.30952540424106,0.6362188713379306,0.6070448227028291
VAE (16) + GaussianProcess_RBF,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_gaussianprocess_rbf_latent_16.joblib,99.47368421052632,54.41176470588235,2.0713123299553864,84.52850003551492,0.46057729585152507,8.644718434840252,1.7388742969485431,42.373204093000886,2.853892453653489,88.79442206608412,0.9987618244307856,0.14819033560651895
VAE (16) + XGBoost_hist_depth3,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_xgboost_hist_depth3_latent_16.joblib,82.89473684210526,42.64705882352941,12.83964900807519,103.62945042099992,1.849139664538472,7.611434619534029,6.9864717285884055,33.381105327430895,9.47467749055863,54.85731064422307,0.9863530397415161,0.6748825311660767
VAE (16) + XGBoost_hist_depth5,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_xgboost_hist_depth5_latent_16.joblib,95.78947368421052,44.11764705882353,4.6450377001948695,33.78116440132448,0.7136546858575543,6.67249180069308,2.6761520021840144,30.04399113357067,3.6244848893747084,53.431890518822144,0.9980028867721558,0.6915588974952698
VAE (16) + LightGBM_leaves31,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_lightgbm_leaves31_latent_16.joblib,92.10526315789474,42.64705882352941,5.925188153562595,170.57913434221496,1.0546551537779147,7.421824010999886,4.213792823215741,33.0961110325238,7.508850405047451,57.14003289573845,0.9914285572499347,0.6472620671435061
